"AREA","AGE_ADJUSTED_CI_LOWER","AGE_ADJUSTED_CI_UPPER","AGE_ADJUSTED_RATE","COUNT","EVENT_TYPE","POPULATION","RACE","SEX","SITE","YEAR"
"Oregon",123.7,133.5,128.6,3061,"Incidence",1613353,"Non-Hispanic White","Female","Female Breast","2022"
"Oregon",26.3,31.1,28.6,636,"Incidence",1613353,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"Pennsylvania",132.5,137.7,135.1,11831,"Incidence",6578161,"All Races","Female","Female Breast","2022"
"Pennsylvania",32.6,35.3,33.9,2832,"Incidence",6578161,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"Pennsylvania",88.9,109,98.6,407,"Incidence",551142,"Hispanic of any race","Female","Female Breast","2022"
"Pennsylvania",22.1,32.3,26.9,117,"Incidence",551142,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"Pennsylvania",NA,NA,NA,NA,"Incidence",12197,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"Pennsylvania",NA,NA,NA,NA,"Incidence",12197,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"Pennsylvania",87.2,111.2,98.7,275,"Incidence",279318,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"Pennsylvania",24.9,38.4,31.1,88,"Incidence",279318,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"Pennsylvania",115.7,131.4,123.4,1027,"Incidence",777771,"Non-Hispanic Black","Female","Female Breast","2022"
"Pennsylvania",30.1,38.5,34.1,279,"Incidence",777771,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"Pennsylvania",135.7,141.7,138.7,10003,"Incidence",4957733,"Non-Hispanic White","Female","Female Breast","2022"
"Pennsylvania",32.4,35.5,33.9,2315,"Incidence",4957733,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"Rhode Island",134.1,152.7,143.2,1045,"Incidence",557461,"All Races","Female","Female Breast","2022"
"Rhode Island",36.4,46.6,41.2,296,"Incidence",557461,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"Rhode Island",99.7,153.2,124.4,92,"Incidence",94696,"Hispanic of any race","Female","Female Breast","2022"
"Rhode Island",27.3,56.7,40,32,"Incidence",94696,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"Rhode Island",NA,NA,NA,NA,"Incidence",2711,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"Rhode Island",NA,NA,NA,NA,"Incidence",2711,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"Rhode Island",60.5,152.3,98.5,21,"Incidence",21542,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"Rhode Island",NA,NA,NA,NA,"Incidence",21542,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"Rhode Island",89.8,166.5,123.9,46,"Incidence",38982,"Non-Hispanic Black","Female","Female Breast","2022"
"Rhode Island",38.6,95,62.3,22,"Incidence",38982,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"Rhode Island",137.6,159.6,148.2,876,"Incidence",399530,"Non-Hispanic White","Female","Female Breast","2022"
"Rhode Island",34.2,45.7,39.6,231,"Incidence",399530,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"South Carolina",134.9,143.1,139,4978,"Incidence",2714958,"All Races","Female","Female Breast","2022"
"South Carolina",28.7,32.6,30.6,1075,"Incidence",2714958,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"South Carolina",84.9,121.5,102.1,136,"Incidence",182685,"Hispanic of any race","Female","Female Breast","2022"
"South Carolina",13.4,29.8,20.4,28,"Incidence",182685,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"South Carolina",68.8,200.4,120.7,17,"Incidence",10793,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"South Carolina",NA,NA,NA,NA,"Incidence",10793,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"South Carolina",62.9,112,84.8,52,"Incidence",59294,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"South Carolina",24.8,57.5,38.5,25,"Incidence",59294,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"South Carolina",134.9,151.6,143.1,1228,"Incidence",740209,"Non-Hispanic Black","Female","Female Breast","2022"
"South Carolina",27.6,35.5,31.3,273,"Incidence",740209,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"South Carolina",134.8,144.9,139.8,3514,"Incidence",1721977,"Non-Hispanic White","Female","Female Breast","2022"
"South Carolina",28.1,32.9,30.4,742,"Incidence",1721977,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"South Dakota",125.4,146.5,135.7,734,"Incidence",447490,"All Races","Female","Female Breast","2022"
"South Dakota",23.1,32.6,27.5,152,"Incidence",447490,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"South Dakota",NA,NA,NA,NA,"Incidence",20645,"Hispanic of any race","Female","Female Breast","2022"
"South Dakota",NA,NA,NA,NA,"Incidence",20645,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"South Dakota",100,197.2,143,38,"Incidence",37579,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"South Dakota",NA,NA,NA,NA,"Incidence",37579,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"South Dakota",NA,NA,NA,NA,"Incidence",9478,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"South Dakota",NA,NA,NA,NA,"Incidence",9478,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"South Dakota",NA,NA,NA,NA,"Incidence",11635,"Non-Hispanic Black","Female","Female Breast","2022"
"South Dakota",NA,NA,NA,NA,"Incidence",11635,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"South Dakota",126.5,149.2,137.5,676,"Incidence",368153,"Non-Hispanic White","Female","Female Breast","2022"
"South Dakota",23.6,34,28.4,140,"Incidence",368153,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"Tennessee",123.9,130.8,127.3,5786,"Incidence",3591511,"All Races","Female","Female Breast","2022"
"Tennessee",21.7,24.7,23.1,1046,"Incidence",3591511,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"Tennessee",64.6,96.8,79.6,118,"Incidence",246986,"Hispanic of any race","Female","Female Breast","2022"
"Tennessee",5,14.6,8.8,16,"Incidence",246986,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"Tennessee",NA,NA,NA,NA,"Incidence",10733,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"Tennessee",NA,NA,NA,NA,"Incidence",10733,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"Tennessee",48.7,85.7,65.2,54,"Incidence",80972,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"Tennessee",16.5,39.7,26.2,23,"Incidence",80972,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"Tennessee",119.2,137.2,128,852,"Incidence",627190,"Non-Hispanic Black","Female","Female Breast","2022"
"Tennessee",22.8,31,26.7,180,"Incidence",627190,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"Tennessee",126.6,134.5,130.5,4730,"Incidence",2625630,"Non-Hispanic White","Female","Female Breast","2022"
"Tennessee",21.4,24.8,23.1,821,"Incidence",2625630,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"Texas",124.4,127.9,126.2,20744,"Incidence",15050613,"All Races","Female","Female Breast","2022"
"Texas",24.6,26.2,25.4,4186,"Incidence",15050613,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"Texas",107.3,113.2,110.2,5496,"Incidence",5892494,"Hispanic of any race","Female","Female Breast","2022"
"Texas",19.7,22.2,20.9,1070,"Incidence",5892494,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"Texas",82.6,137.4,107.4,68,"Incidence",56356,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"Texas",NA,NA,NA,NA,"Incidence",56356,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"Texas",98.4,112,105,970,"Incidence",900746,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"Texas",24.7,31.5,27.9,270,"Incidence",900746,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"Texas",121.9,132.1,126.9,2528,"Incidence",2010192,"Non-Hispanic Black","Female","Female Breast","2022"
"Texas",27.3,32.3,29.7,601,"Incidence",2010192,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"Texas",132.6,137.9,135.2,11570,"Incidence",6190825,"Non-Hispanic White","Female","Female Breast","2022"
"Texas",25.4,27.7,26.5,2204,"Incidence",6190825,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"Utah",127.3,138.9,133,2112,"Incidence",1668409,"All Races","Female","Female Breast","2022"
"Utah",27.1,32.6,29.7,469,"Incidence",1668409,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"Utah",116.1,154.3,134.3,221,"Incidence",257606,"Hispanic of any race","Female","Female Breast","2022"
"Utah",21.9,39.9,30,51,"Incidence",257606,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"Utah",NA,NA,NA,NA,"Incidence",17100,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"Utah",NA,NA,NA,NA,"Incidence",17100,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"Utah",82.1,135.8,106.5,67,"Incidence",71537,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"Utah",22.7,55.8,36.6,22,"Incidence",71537,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"Utah",NA,NA,NA,NA,"Incidence",23536,"Non-Hispanic Black","Female","Female Breast","2022"
"Utah",NA,NA,NA,NA,"Incidence",23536,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"Utah",127.7,140.4,133.9,1794,"Incidence",1298630,"Non-Hispanic White","Female","Female Breast","2022"
"Utah",26.3,32.4,29.2,384,"Incidence",1298630,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"Vermont",131.1,155.1,142.7,649,"Incidence",325782,"All Races","Female","Female Breast","2022"
"Vermont",17.4,26.8,21.7,101,"Incidence",325782,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"Vermont",NA,NA,NA,NA,"Incidence",8221,"Hispanic of any race","Female","Female Breast","2022"
"Vermont",NA,NA,NA,NA,"Incidence",8221,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"Vermont",NA,NA,NA,NA,"Incidence",1388,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"Vermont",NA,NA,NA,NA,"Incidence",1388,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"Vermont",NA,NA,NA,NA,"Incidence",7599,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"Vermont",NA,NA,NA,NA,"Incidence",7599,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"Vermont",NA,NA,NA,NA,"Incidence",5129,"Non-Hispanic Black","Female","Female Breast","2022"
"Vermont",NA,NA,NA,NA,"Incidence",5129,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"Vermont",131,155.8,143,625,"Incidence",303445,"Non-Hispanic White","Female","Female Breast","2022"
"Vermont",17.7,27.6,22.2,99,"Incidence",303445,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"Virginia",131.4,137.8,134.5,7407,"Incidence",4390104,"All Races","Female","Female Breast","2022"
"Virginia",32.5,35.7,34.1,1831,"Incidence",4390104,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"Virginia",76.9,97.6,86.8,309,"Incidence",462337,"Hispanic of any race","Female","Female Breast","2022"
"Virginia",17.8,28.6,22.8,80,"Incidence",462337,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"Virginia",144.1,317.1,218.1,31,"Incidence",13214,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"Virginia",NA,NA,NA,NA,"Incidence",13214,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"Virginia",80.1,99.2,89.2,352,"Incidence",352008,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"Virginia",25.9,37.3,31.2,124,"Incidence",352008,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"Virginia",128.4,143.1,135.6,1413,"Incidence",902025,"Non-Hispanic Black","Female","Female Breast","2022"
"Virginia",33.2,41,37,385,"Incidence",902025,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"Virginia",133.9,141.9,137.8,5131,"Incidence",2660520,"Non-Hispanic White","Female","Female Breast","2022"
"Virginia",31.2,35.3,33.2,1172,"Incidence",2660520,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"Washington",135,142,138.5,6548,"Incidence",3864945,"All Races","Female","Female Breast","2022"
"Washington",31.1,34.5,32.7,1542,"Incidence",3864945,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"Washington",102,126.3,113.7,392,"Incidence",539362,"Hispanic of any race","Female","Female Breast","2022"
"Washington",15.4,25.9,20.2,67,"Incidence",539362,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"Washington",144.7,213.5,176.5,116,"Incidence",57124,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"Washington",13.2,38.4,23.2,17,"Incidence",57124,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"Washington",113.3,133.2,122.9,616,"Incidence",476167,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"Washington",36.5,48.3,42.1,211,"Incidence",476167,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"Washington",96.1,131.1,112.7,177,"Incidence",186861,"Non-Hispanic Black","Female","Female Breast","2022"
"Washington",22.8,42.1,31.4,47,"Incidence",186861,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"Washington",136.4,144.6,140.4,5194,"Incidence",2605431,"Non-Hispanic White","Female","Female Breast","2022"
"Washington",31,35.1,33,1192,"Incidence",2605431,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"West Virginia",121.3,134.8,127.9,1597,"Incidence",888434,"All Races","Female","Female Breast","2022"
"West Virginia",22.6,28.8,25.6,311,"Incidence",888434,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"West Virginia",NA,NA,NA,NA,"Incidence",17631,"Hispanic of any race","Female","Female Breast","2022"
"West Virginia",NA,NA,NA,NA,"Incidence",17631,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"West Virginia",NA,NA,NA,NA,"Incidence",1909,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"West Virginia",NA,NA,NA,NA,"Incidence",1909,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"West Virginia",NA,NA,NA,NA,"Incidence",9397,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"West Virginia",NA,NA,NA,NA,"Incidence",9397,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"West Virginia",89.5,168.4,124.4,45,"Incidence",34616,"Non-Hispanic Black","Female","Female Breast","2022"
"West Virginia",NA,NA,NA,NA,"Incidence",34616,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"West Virginia",122,136,128.9,1530,"Incidence",824881,"Non-Hispanic White","Female","Female Breast","2022"
"West Virginia",23.2,29.7,26.3,303,"Incidence",824881,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"Wisconsin",132.5,140.4,136.4,5155,"Incidence",2941315,"All Races","Female","Female Breast","2022"
"Wisconsin",30.1,34,32,1180,"Incidence",2941315,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"Wisconsin",94.8,132.1,112.4,163,"Incidence",226067,"Hispanic of any race","Female","Female Breast","2022"
"Wisconsin",9.7,22.6,15.1,25,"Incidence",226067,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"Wisconsin",81.6,165,117.9,36,"Incidence",29081,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"Wisconsin",NA,NA,NA,NA,"Incidence",29081,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"Wisconsin",63,105.6,82.3,66,"Incidence",101126,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"Wisconsin",16.5,41.7,27.1,21,"Incidence",101126,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"Wisconsin",130.6,167.8,148.3,265,"Incidence",207165,"Non-Hispanic Black","Female","Female Breast","2022"
"Wisconsin",32.7,52.7,41.9,75,"Incidence",207165,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"Wisconsin",133.1,141.7,137.4,4601,"Incidence",2377876,"Non-Hispanic White","Female","Female Breast","2022"
"Wisconsin",30.5,34.8,32.6,1046,"Incidence",2377876,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"Wyoming",114.8,139.9,126.8,452,"Incidence",283815,"All Races","Female","Female Breast","2022"
"Wyoming",18.7,29.6,23.6,87,"Incidence",283815,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"Wyoming",49.5,126.3,81.6,20,"Incidence",29457,"Hispanic of any race","Female","Female Breast","2022"
"Wyoming",NA,NA,NA,NA,"Incidence",29457,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"Wyoming",NA,NA,NA,NA,"Incidence",6488,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"Wyoming",NA,NA,NA,NA,"Incidence",6488,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"Wyoming",NA,NA,NA,NA,"Incidence",3745,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"Wyoming",NA,NA,NA,NA,"Incidence",3745,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"Wyoming",NA,NA,NA,NA,"Incidence",3668,"Non-Hispanic Black","Female","Female Breast","2022"
"Wyoming",NA,NA,NA,NA,"Incidence",3668,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"Wyoming",114,140.6,126.7,410,"Incidence",240457,"Non-Hispanic White","Female","Female Breast","2022"
"Wyoming",20,32.2,25.6,84,"Incidence",240457,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
