"AREA","AGE_ADJUSTED_CI_LOWER","AGE_ADJUSTED_CI_UPPER","AGE_ADJUSTED_RATE","COUNT","EVENT_TYPE","POPULATION","RACE","SEX","SITE","YEAR"
"Connecticut",NA,NA,NA,NA,"Incidence",4056,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"Connecticut",NA,NA,NA,NA,"Incidence",4056,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"Connecticut",82,122.6,100.7,102,"Incidence",96503,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"Connecticut",25,49.2,35.5,37,"Incidence",96503,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"Connecticut",113.3,143.8,127.8,292,"Incidence",207687,"Non-Hispanic Black","Female","Female Breast","2022"
"Connecticut",35.3,53.2,43.6,101,"Incidence",207687,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"Connecticut",148.9,161.6,155.1,2811,"Incidence",1199846,"Non-Hispanic White","Female","Female Breast","2022"
"Connecticut",40.6,47.7,44,736,"Incidence",1199846,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"Delaware",138.3,157.9,147.9,1047,"Incidence",525691,"All Races","Female","Female Breast","2022"
"Delaware",33.8,44,38.6,270,"Incidence",525691,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"Delaware",79.8,157.4,114.2,41,"Incidence",54720,"Hispanic of any race","Female","Female Breast","2022"
"Delaware",NA,NA,NA,NA,"Incidence",54720,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"Delaware",NA,NA,NA,NA,"Incidence",1850,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"Delaware",NA,NA,NA,NA,"Incidence",1850,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"Delaware",77.6,168.8,116.6,29,"Incidence",23417,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"Delaware",NA,NA,NA,NA,"Incidence",23417,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"Delaware",115.6,155.9,134.6,192,"Incidence",127118,"Non-Hispanic Black","Female","Female Breast","2022"
"Delaware",31.9,54.1,41.8,63,"Incidence",127118,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"Delaware",143.6,169,155.8,781,"Incidence",318586,"Non-Hispanic White","Female","Female Breast","2022"
"Delaware",34.2,47.9,40.6,186,"Incidence",318586,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"District of Columbia",112.2,136,123.7,444,"Incidence",352628,"All Races","Female","Female Breast","2022"
"District of Columbia",26.3,38.9,32.1,111,"Incidence",352628,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"District of Columbia",55.7,123.9,84.9,28,"Incidence",38936,"Hispanic of any race","Female","Female Breast","2022"
"District of Columbia",NA,NA,NA,NA,"Incidence",38936,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"District of Columbia",NA,NA,NA,NA,"Incidence",975,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"District of Columbia",NA,NA,NA,NA,"Incidence",975,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"District of Columbia",61.7,180,109.3,17,"Incidence",19345,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"District of Columbia",NA,NA,NA,NA,"Incidence",19345,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"District of Columbia",105.5,138,120.9,239,"Incidence",163925,"Non-Hispanic Black","Female","Female Breast","2022"
"District of Columbia",24.7,42,32.5,64,"Incidence",163925,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"District of Columbia",113.9,158.8,134.9,152,"Incidence",129447,"Non-Hispanic White","Female","Female Breast","2022"
"District of Columbia",23.8,46.8,33.9,39,"Incidence",129447,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"Florida",127.9,131.7,129.8,20685,"Incidence",11318854,"All Races","Female","Female Breast","2022"
"Florida",28.1,29.9,29,4550,"Incidence",11318854,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"Florida",108.2,115.4,111.8,3835,"Incidence",3021863,"Hispanic of any race","Female","Female Breast","2022"
"Florida",25.4,29,27.2,943,"Incidence",3021863,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"Florida",132.2,219.3,171.3,75,"Incidence",31882,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"Florida",NA,NA,NA,NA,"Incidence",31882,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"Florida",91.9,110.2,100.7,495,"Incidence",396862,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"Florida",27.6,38,32.4,163,"Incidence",396862,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"Florida",117.8,127.8,122.7,2426,"Incidence",1843447,"Non-Hispanic Black","Female","Female Breast","2022"
"Florida",27.4,32.4,29.8,603,"Incidence",1843447,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"Florida",134,139.3,136.6,13613,"Incidence",6024800,"Non-Hispanic White","Female","Female Breast","2022"
"Florida",27.3,29.7,28.5,2766,"Incidence",6024800,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"Georgia",132.7,138.4,135.5,8977,"Incidence",5592098,"All Races","Female","Female Breast","2022"
"Georgia",30.1,32.9,31.5,2087,"Incidence",5592098,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"Georgia",102.8,125.6,113.8,453,"Incidence",572553,"Hispanic of any race","Female","Female Breast","2022"
"Georgia",20.8,31.2,25.6,110,"Incidence",572553,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"Georgia",NA,NA,NA,NA,"Incidence",14787,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
